VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 1344347     10 0.26362 0.26362 40.64322  0.14940  0.00000  0.02785
SN: 1701055     10 0.26396 0.26396 40.97804  0.20740  0.00000  0.02416
SN: 1334087     10 0.26629 0.26629 40.64012  0.15040  0.00000  0.03156
SN: 1300390     10 0.26765 0.26765 40.81142  0.16460  0.00000  0.04264
SN: 1249970     10 0.26776 0.26776 40.93505  0.15150  0.00000  0.04265
SN: 1309288     10 0.26794 0.26794 40.66092  0.15670  0.00000  0.06126
SN: 1774043     10 0.26843 0.26843 40.77218  0.15920  0.00000  0.01892
SN: 1560034     10 0.26891 0.26891 40.79394  0.13760  0.00000  0.03133
SN: 1320704     10 0.26996 0.26996 40.62233  0.17790  0.00000  0.01877
SN: 1309874     10 0.27002 0.27002 40.56303  0.15470  0.00000  0.01484
SN: 1330817     10 0.27051 0.27051 40.98134  0.14930  0.00000  0.01577
SN: 1366690     10 0.27120 0.27120 40.89416  0.16290  0.00000  0.02270
SN: 1773078     10 0.27143 0.27143 40.60294  0.13700  0.00000  0.02657
SN: 1259341     10 0.27212 0.27212 40.56843  0.13860  0.00000  0.04121
SN: 1278493     10 0.27238 0.27238 40.72938  0.15000  0.00000  0.03424
SN: 1968046     10 0.27255 0.27255 40.88137  0.18730  0.00000  0.01725
SN: 1292332     10 0.27265 0.27265 40.65376  0.15490  0.00000  0.01430
SN: 1260050     10 0.27279 0.27279 40.61532  0.14340  0.00000  0.01362
SN: 1574104     10 0.27304 0.27304 40.54488  0.16470  0.00000  0.02654
SN: 1502065     10 0.27316 0.27316 40.71463  0.14070  0.00000  0.02013
SN: 1250279     10 0.27383 0.27383 40.51181  0.15180  0.00000  0.01232
SN: 1260556     10 0.27438 0.27438 40.71557  0.14340  0.00000  0.02877
SN: 1256620     10 0.27452 0.27452 40.74585  0.15220  0.00000  0.01434
SN: 1339756     10 0.27539 0.27539 40.71567  0.17480  0.00000  0.01951
SN: 1792093     10 0.27659 0.27659 40.81648  0.14870  0.00000  0.02539
SN: 1503024     10 0.27694 0.27694 40.95023  0.16220  0.00000  0.04848
SN: 1297465     10 0.27784 0.27784 40.99237  0.13650  0.00000  0.00857
SN: 1250578     10 0.27861 0.27861 40.98537  0.17490  0.00000  0.02797
SN: 1291242     10 0.27906 0.27906 40.98335  0.16410  0.00000  0.02095
SN: 1255576     10 0.28011 0.28011 40.79974  0.14680  0.00000  0.03317
SN: 1248084     10 0.28063 0.28063 40.61360  0.14620  0.00000  0.04171
SN: 1317286     10 0.28198 0.28198 40.68929  0.13960  0.00000  0.03513
SN: 1249483     10 0.28303 0.28303 40.63985  0.16950  0.00000  0.01182
SN: 1297927     10 0.28513 0.28513 40.91772  0.14170  0.00000  0.01716
SN: 1774072     10 0.28548 0.28548 40.83383  0.14310  0.00000  0.02684
SN: 1312897     10 0.28579 0.28579 40.93309  0.15390  0.00000  0.03341
SN: 1862039     10 0.28700 0.28700 41.04590  0.16370  0.00000  0.02693
SN: 1334644     10 0.28805 0.28805 40.82023  0.15400  0.00000  0.02036
SN: 1313594     10 0.28835 0.28835 40.86821  0.14280  0.00000  0.03144
