VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC
SN: 1290816     10 0.21847 0.21847 40.33410  0.13150  0.00000
SN: 1304678     10 0.21884 0.21884 40.19600  0.13830  0.00000
SN: 1342255     10 0.21886 0.21886 40.13380  0.13000  0.00000
SN: 1250912     10 0.21898 0.21898 40.45180  0.13440  0.00000
SN: 1682020     10 0.21924 0.21924 39.94880  0.13720  0.00000
SN: 1302187     10 0.21942 0.21942 40.05580  0.14690  0.00000
SN: 1259352     10 0.21986 0.21986 39.91520  0.13800  0.00000
SN: 1867019     10 0.22101 0.22101 40.52670  0.12760  0.00000
SN: 1331123     10 0.22157 0.22157 40.30080  0.12470  0.00000
SN: 1929063     10 0.22211 0.22211 40.14660  0.14310  0.00000
SN: 1259246     10 0.22285 0.22285 40.06550  0.12980  0.00000
SN: 1249137     10 0.22306 0.22306 40.32320  0.13780  0.00000
SN: 1641279     10 0.22399 0.22399 40.24770  0.16020  0.00000
SN: 1878148     10 0.22454 0.22454 40.19650  0.12320  0.00000
SN: 1292560     10 0.22482 0.22482 40.26680  0.11890  0.00000
SN: 1315192     10 0.22714 0.22714 40.15230  0.12480  0.00000
SN: 1249308     10 0.22806 0.22806 40.49800  0.14070  0.00000
SN: 1315259     10 0.22806 0.22806 40.21180  0.12400  0.00000
SN: 1879426     10 0.22941 0.22941 40.26030  0.11570  0.00000
SN: 1257533     10 0.22953 0.22953 40.17060  0.12230  0.00000
SN: 1288083     10 0.23048 0.23048 40.18420  0.14890  0.00000
SN: 1262746     10 0.23080 0.23080 40.35040  0.12680  0.00000
SN: 1302648     10 0.23171 0.23171 40.21690  0.12660  0.00000
SN: 1310367     10 0.23333 0.23333 40.44960  0.14420  0.00000
SN: 1292336     10 0.23356 0.23356 40.29330  0.13190  0.00000
SN: 1336687     10 0.23381 0.23381 40.35630  0.13050  0.00000
SN: 1279500     10 0.23470 0.23470 40.42900  0.12340  0.00000
SN: 1319366     10 0.23483 0.23483 40.25960  0.12230  0.00000
SN: 1298281     10 0.23508 0.23508 40.30170  0.13120  0.00000
SN: 1860025     10 0.23532 0.23532 40.59200  0.12330  0.00000
SN: 1921033     10 0.23707 0.23707 40.53330  0.12440  0.00000
SN: 1317277     10 0.23711 0.23711 40.39280  0.13020  0.00000
SN: 1373042     10 0.23721 0.23721 40.49390  0.13770  0.00000
SN: 1434248     10 0.23735 0.23735 40.35220  0.12040  0.00000
SN: 1262573     10 0.23748 0.23748 40.43360  0.13610  0.00000
SN: 1840041     10 0.23891 0.23891 40.39770  0.13040  0.00000
SN: 1834104     10 0.23928 0.23928 40.42010  0.12250  0.00000
SN: 1366436     10 0.23955 0.23955 40.45890  0.11950  0.00000
SN: 1368188     10 0.24003 0.24003 40.40320  0.12010  0.00000
SN: 1319711     10 0.24171 0.24171 40.49590  0.12950  0.00000
SN: 1780045     10 0.24284 0.24284 40.57450  0.12840  0.00000
SN: 1344355     10 0.24449 0.24449 40.41790  0.13820  0.00000
SN: 1248441     10 0.24517 0.24517 40.32650  0.21650  0.00000
SN: 1246275     10 0.24605 0.24605 40.52000  0.13170  0.00000
SN: 1334645     10 0.24701 0.24701 40.30480  0.12470  0.00000
SN: 1879256     10 0.24936 0.24936 40.45940  0.13120  0.00000
SN: 1901059     10 0.25126 0.25126 40.43460  0.12260  0.00000
SN: 1367234     10 0.25174 0.25174 40.58810  0.12940  0.00000
SN: 1305276     10 0.25286 0.25286 40.71250  0.14210  0.00000
SN: 1302359     10 0.25308 0.25308 40.72180  0.16230  0.00000
SN: 1262726     10 0.25379 0.25379 40.31350  0.14730  0.00000
SN: 1500024     10 0.25444 0.25444 41.07630 156.62700  0.00000
SN: 1373028     10 0.25517 0.25517 40.32310  0.13950  0.00000
